house_uuid;type
912442d8-9b15-4960-8b96-636cc495661d;1
85a2f7e1-9640-4441-b9e4-91050dbd54b0;1
a5e851ce-54fd-4271-b7d6-bec9a69cf6da;1
0d37a6f8-ff51-44ec-a4e7-12412093b493;1
e745b11b-95f7-43f5-8fc4-801e5eb11ee5;1
8be2693d-39d3-42ac-8ff5-c6d6da0652c7;1
c1cb5358-e222-40f2-b90f-9e3cef32976d;1
981d9594-ce30-4879-a167-258b749edb7f;1
f8815c5b-1adb-4914-820c-92cfa26289ef;1
8e39ddd4-d37d-4330-990c-df30dc19f5fd;1
57f28832-48bc-4ca8-8d0b-66192a8fb334;1
38a14bca-f659-4dfe-a4ec-ae4ccaace3cb;1
031b8bc4-2daa-452c-95f5-7e8a32a2ec1e;1
77d3597f-8e82-4f15-989b-476853f15fc8;1
afc78223-9bb8-4d95-a021-763668ea56fc;1
25b6a110-c095-4ad0-aba9-930c2370a36f;1
f43c40d8-b70e-4290-8051-883b9fd55d00;1
c545f9d8-85f8-4cfb-9f27-2974d9278bd7;1
bfb6abfa-c6cf-49be-9d96-3dee15693a04;1
4d1e29e5-8fbc-4719-92d1-1d688f3834d1;1
a0202bbb-5de2-4dd8-87bf-92e81d3490fa;1
942cc5b3-83c2-4312-a434-c6a2e1ec40d0;1
c6c87583-4855-4da2-862a-aaa9dcb6b7b2;1
0113d4e3-cfe5-4bf4-b785-7a1cec4c1788;1
68d3cbca-0643-431c-9019-9a7b6f675593;1
2860dec9-3b13-41c2-a7e3-672656e09a18;1
8e52307c-ac49-4546-bcb1-a091cd7aa706;1
761365d2-01ca-4bc2-a473-ce4feb8802c9;1
aa702908-03df-4d25-bb60-135325e01939;1
0a029106-1a90-49a5-8e53-1264c8da3af2;1
d61bf742-9402-4ee7-90e6-ee79ecc21fee;1
970753e4-9bbb-4742-b4d2-d875d8627062;1
643a959b-408c-407e-9e75-ee3cadb28404;1
0be58a76-eb96-4c37-9619-6149036f7884;1
1191d726-48f4-463a-bc47-ccb3776b8dfe;1
4d31a747-2941-402e-9e85-31d76c65ded0;1
1fecc946-a986-4622-8d6e-7f4fd1e7a2c2;1
299e5781-92ee-4939-a012-d0a3dca8e4be;1
76a827de-44fe-4665-94aa-7af68f652424;1
da15b71d-b9fd-4496-aac5-e9429aadbbb2;1
8436dcfa-2137-42c5-8dbe-823a995840d6;1
7af3b586-9729-4459-9d33-fbb85b3bad1b;1
d6735eb3-3a79-4053-992c-4e3b417ca006;1
80b96149-6be8-45e4-99b2-9c7576ed674a;1
7443bcb4-97d0-4941-9be5-56a54d3b269d;1
8a16b131-208e-4a49-9684-f6b0afe81784;1
fbc9a1a3-3a44-4aaf-864a-4717d7b487a9;1
c3afdf8f-f9c6-4fea-9da5-3002a03a191e;1
a3362ce7-50ae-41fa-ba7b-c3247ddc01d9;1
50fefb20-508d-47c5-b0d7-69784144c752;1
97e0cba6-42b9-4a98-81c3-80d19786783e;1
9135f931-d12e-47de-8bcc-d887bb8376d4;1
b626e216-597e-45b5-9f69-063f3b570b30;1
024e2eeb-0b67-4214-8416-0bc1d6c9b33d;1
c2cc5622-a5ef-46ff-8910-4591ce168396;1
82d4c101-2cc9-4969-acd9-6671595082ef;1
b73f193f-63c6-44a6-8bd0-5af44b9c91b9;1
43f82173-517e-4e34-b044-7a95f030e25e;1
7b7103b0-c493-4cbd-9c1e-e676fa925a73;1
5cee7788-8ab8-4440-8fef-099d07f87183;1
4d73590d-d131-44f6-a96b-0c36ac89c545;1
8e05679b-c87e-4d8e-a0bf-8ed575dd5759;1
76c0a500-dbfb-4843-89f6-8885f74ea98e;1
08cd2148-bf46-4e18-b086-3415171d79e5;1
37a4a968-2577-4877-ae79-dae7ed0bbbb2;1
db665f43-33b5-4a1d-bf5c-502daa1d81cf;1
6e30236d-5a25-4248-aa36-d12d93baf6ee;1
e407495b-1ac2-428f-84ca-d2f150f23993;1
2d18614a-dac2-46b4-91e6-5ea8b8aab4a6;1
92853835-341b-48a1-a3ef-7229194ca99e;1
78b446b6-b9c9-402d-8fc3-3a41992686a4;1
b6228839-9841-4e37-8e49-d815f7cc0542;1
bb38de01-a1dc-4b51-af76-4d5fdb65dd14;1
3e34f55a-c798-4651-873f-44860e375f43;1
dcb3d90c-4b4d-49c7-88fa-27270d87b56d;1
78e19749-869e-4286-9806-8958c3b3e88c;1
43cba213-4b60-45c2-8c6b-f474e9569d85;1
8e53196b-ff17-48a1-bdb6-ed65b838125d;1
20d1efde-1e2d-4fe3-9120-bb3c70622007;1
3829c468-48b7-4502-a50a-1a3182f67e66;1
4b1aae97-01e6-4083-bf0c-029d01bbda2a;1
c9cf3097-4592-4347-876f-e70716f603bc;1
1db48d69-b4b4-4bb6-acd6-d3291e147de8;1
b4d093dc-bb74-482a-b69e-54ebf42c9fbd;1
e7f9dbf3-c1ef-41bb-9705-d6e2982a241e;1
224279cc-0ef0-48d6-b193-b3bc1ea1537f;1
66f53ab7-fd7e-40e5-b290-3c950a919529;1
b58e27f4-9287-4f93-974d-a136508c2160;1
7113b341-62ae-45dc-9307-51f3441a9786;1
356a08db-500d-4197-909d-ed7b290bfb1b;1
d7afea65-217c-445b-a819-e1bfdc3332b0;1
585d4c53-46ad-40c7-88c5-33d9a32b66b6;1
a0fe92d9-fe1f-4db9-b562-75ad3250fa80;1
271c7ac7-445e-4ac0-8082-1b5cd072021d;1
cac1e753-7d8a-47aa-bcaa-a9ead6584c7b;1
058a5936-344c-43ae-948a-9c2ee6aebc52;1
7f41013a-4c89-432a-a91f-d01cbe630c8a;1
3bbaf04d-8bdf-4305-85ec-07ecc24c02ce;1
83210306-2b8c-4905-b21e-83eef6ce1a97;1
dc35f793-a23c-41f8-bed3-2cbf2872b5f3;1
d31e2ff9-7356-4902-a1b6-a0a30ed376ca;1
fe94a561-a504-4323-a6e2-ae5e0cf8cd07;1
b399ad34-d7a3-4662-98cd-09b1c57a9746;1
