Number;Date;UID;Desc;Group;Cat
1346502;02.01.2023 14:25;a3b02e79-7d70-423f-b318-5d1516f2a9a2;течь кровли на л/пл в п №3;;
1346504;02.01.2023 14:33;78bcccc8-c695-4bb0-aaad-39d8b29d096c;левая сторона на 4 эт топят нижний этаж по туалету;;
1346505;02.01.2023 14:41;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли в коридоре квартиры и в ванной комнате.;;
1346508;2023-01-02 14:50:55.074;b1ab4cb9-3502-4c37-9a47-46f482a5dc55;течь кровли;;
1346510;02.01.2023 14:53;252cd76d-0344-418d-850f-74f04fdb007c;на кухне в  раковине поднимается вода;;
1346511;02.01.2023 15:00;0da15dd9-405f-4e8c-9fd1-d61515d42cb8;п №1 не раб.лифт, на 2 эт стоит;;
1346513;02.01.2023 15:12;1ccd80de-27de-4f37-b93f-721264dc463a;х/гвс,х/з;;
1346520;02.01.2023 15:58;d6257b7b-d68c-449f-aef3-6c4af1a2d78f;порыв батареи  в квартире 5;;
1346521;02.01.2023 16:02;f1f0c74f-ef36-4f28-9dad-96d9664dd6f2;Течь кровли в ком.203,мокнет проводка;;
1346522;02.01.2023 16:11;66b2d248-bd1b-45ce-85c5-8880c9e03567;течь кровли  в зале и в  прихожке,где вытяжка по шву;;
1346523;2023-01-02 16:13:58.050;66b2d248-bd1b-45ce-85c5-8880c9e03567;технику составить акт о протечке с кровли;;
1346526;02.01.2023 16:36;eebac655-b830-4e48-b7c0-f86d9a494ba3;пожар  на кровле дома;;
1346528;2023-01-02 16:39:29.035;d6257b7b-d68c-449f-aef3-6c4af1a2d78f;порыв батареи в кв 6;;
1346529;02.01.2023 16:41;1ccd80de-27de-4f37-b93f-721264dc463a;Х/ГВС,Х/З;;
1346531;02.01.2023 16:50;5e827ec3-782e-4627-beaf-bfe1ba7c1ec5;Нет воды;;
1346534;02.01.2023 17:01;f1e1b2ef-9c58-4c0b-a82d-3407016896fb;течь кровли  в спальне;;
1346536;02.01.2023 17:09;bb80235a-f3b7-40cf-830d-81acd5a89a2b;п № 3 в тамбуре нет света;;
1346537;02.01.2023 17:10;c992015d-efbc-46a1-b160-4d07669dc676;нет света в квартире;;
1346547;02.01.2023 18:24;fce2db74-28a4-4eac-95a6-c1269270601c;п №1 не раб.лифт;;
1346549;02.01.2023 18:49;a09a11ff-41eb-433f-a6da-f4304fc3f4e5;Течь с кровли ,с балкона на кухне;;
1346553;02.01.2023 19:44;47a84439-bd30-45fd-af3f-cac6e7b64888;Сработала пожарная сигнализация во 2 подъезде ;;
1346554;02.01.2023 20:10;356850a9-928a-4bab-b6ff-9a9e07f4ac3d;Х/Б в квартире ;;
1346561;02.01.2023 22:16;7341f0c1-d066-4379-8a96-fd6baf55c347;Х/З Х/ГВС ;;
1346565;03.01.2023 3:55;b230d271-e438-4bc6-b2cb-e389c5f0685b;Течь  трубы  ЦО в спальной ;;
1346570;03.01.2023 7:20;be24280b-3eb6-4a6d-861c-90275e8ba270;Чуть теплые батареи кухне Х/З ;;
1346573;03.01.2023 8:13;8012f310-1e2b-4299-ab17-e526bb68920b;Горит квартира, нужен электрик;;
1346574;03.01.2023 8:34;4274d56e-dfd2-4216-922b-907c4bba6772;Шум по стояку отопления ( сильный гул);;
1346579;03.01.2023 8:57;9579d8c8-5ec1-4fd8-a060-fd12105fbe47;Замена лампы на 1 эт около лифта;;
1346580;03.01.2023 9:05;bef36531-9088-403a-aa21-1404df42873d;Засор в ванной;;
1346582;03.01.2023 9:20;4ab3a7bf-c818-49b5-819d-a7118307b805;Сломан домофон на входной двери ;;
1346584;03.01.2023 9:37;6b9258c0-db10-43f1-8803-f6b376104178;Мех.уборка придомовой территории;;
1346585;03.01.2023 9:40;21a3a182-46c1-4ba7-bc91-1512b1197bea;Течь батареи, нужна сварка, 1 подъезд;;
1346587;03.01.2023 9:44;3305e947-6dbe-43ed-9e6e-c357f4c93b45;Течь батареи на кухне;;
1346590;03.01.2023 9:55;3f83e584-5cf9-49e3-b0e0-ad17de48a10d;Течь кровли;;
1346592;03.01.2023 10:01;a8bb2035-06a0-49ba-aef6-f4f9712ab024;Засор канализации в подвале;;
1346593;03.01.2023 10:04;a31e8619-5cab-4bcf-af43-444587ad448c;Х/Б в комнате ;;
1346595;2023-01-03 10:08:43.094;ac69131e-8a01-4eb6-9bbf-a651bc9530c4;Засор  от колодца к дому, течь в теплоузел;;
1346597;2023-01-03 10:11:58.024;c1c6e9fb-cbac-4cf1-bddb-97679da9fd35;Х/Б на кухне, Х/З;;
1346600;03.01.2023 10:15;ac69131e-8a01-4eb6-9bbf-a651bc9530c4;Засор от колодца к дому, течь в теплоузел;;
1346607;03.01.2023 10:59;22e7b113-ab05-4ff1-867a-7abac04f1917;Опломбировка счетчика ГВС;;
1346609;03.01.2023 11:00;22e7b113-ab05-4ff1-867a-7abac04f1917;Опломбировка счетчика ХВС;;
1346614;03.01.2023 11:19;e63087c2-dda6-4d66-979f-f6a5989f4c8a;Убрать придомовую территорию от наледи ;;
1346616;03.01.2023 11:34;196eccc6-82f1-4d06-8b49-ffb152f848b3;Течь кровли в квартире, в подъезде;;
1346619;03.01.2023 11:41;96db4ee3-d1da-4708-975e-71af57c0732c;Искрит счетчик , запах горелой проводки;;
1346625;03.01.2023 11:55;252cd76d-0344-418d-850f-74f04fdb007c;Засор в подвале;;
1346629;03.01.2023 12:12;ff2ae4f2-3d2a-49c9-88bc-83de9d17f98f;Течь из колодцев по дороге;;
1346632;03.01.2023 12:23;60b801ae-cfaa-43e8-8d91-91bdb3b216a4;Не работает домофон в квартире;;
1346633;03.01.2023 12:27;7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;Засор в ванной;;
1346634;03.01.2023 12:29;b13bba64-2e2c-4b47-91c1-5a741088977c;Течь батареи;;
1346636;03.01.2023 12:36;aba6173d-4413-443a-bddb-ae6d3640ad3e;Засор в подвал;;
1346638;03.01.2023 12:41;61407a19-a77d-42b0-82f3-24bd9416779f;Засор в подвале ;;
1346639;03.01.2023 12:49;8012f310-1e2b-4299-ab17-e526bb68920b;Подключить домофоны в кв 416, 415, 412,  после пожара;;
1346650;03.01.2023 13:30;be24280b-3eb6-4a6d-861c-90275e8ba270;Х/Б на кухне, Х/З;;
1346653;03.01.2023 13:39;1c329341-c0f6-4321-b2f0-4211a25b1f9e;Почистить ливневку  во дворе около 1 под., стоит вода.;;
1346655;03.01.2023 13:41;d4de98b0-75af-463a-a4f1-f353748b00b2;Нет ГВС во всем доме;;
1346661;03.01.2023 14:06;a09a11ff-41eb-433f-a6da-f4304fc3f4e5;Х/Б на кухне, в зале чуть теплые.;;
1346663;03.01.2023 14:10;e86aae9a-45f6-4dff-8c90-22f998fb82ff;Х/Б кухня и Х/З;;
1346667;03.01.2023 14:23;90e8b574-3d81-47b4-bdf0-83829610bc70;Засор в туалете и в ванной.;;
1346669;03.01.2023 14:30;a253056a-2aa9-4284-8cfb-b33c52ad8a70;Сильный запах КНС из подвала первого подъезда, проверить на засор.;;
1346671;03.01.2023 14:35;5a7076c4-3897-42c7-8043-9e29e130c5c9;Засор КНС на кухне;;
1346673;03.01.2023 14:42;ea97fdaf-3f42-4ae8-955f-8d14d6df984c;Забит мусоропровод на всех этажах. Уже сильный запах, срочно нужно прочистить.;;
1346675;03.01.2023 14:48;5a7076c4-3897-42c7-8043-9e29e130c5c9;Засор КНС на кухне;;
1346677;03.01.2023 14:52;5b14846c-c9b9-4aee-8e25-54290b9b4678;течь КНС в подвале со стороны первого подъезда.;;
1346678;03.01.2023 15:00;c5534648-b719-4dfe-8530-6498a4c086d4;Течь по стене над окном, где балконная дверь.;;
1346682;03.01.2023 15:19;83160bf0-b422-4c19-a990-2d59a3ae33ca;В подъезде прорвало трубу ЦО;;
1346684;03.01.2023 15:25;28f334f7-0e10-46cd-b560-a29a49c198f4;Чуть теплые батареи во всей квартире;;
1346685;03.01.2023 15:27;21a3a182-46c1-4ba7-bc91-1512b1197bea;Прорвало батарею в зале. ;;
1346689;2023-01-03 15:44:09.000;a09a11ff-41eb-433f-a6da-f4304fc3f4e5;Засор КНС в кухне, поднимается черная вода в раковине;;
1346690;03.01.2023 15:53;fc322ca5-739f-4701-a5cd-4800df874872;Появился доступ во все квартиры по стояку кв. 132, кроме кв. на 4 этаже. Нужно прочистить стояк КНС.;;
1346691;03.01.2023 15:55;d3a20645-d142-427d-8b61-377ae1dc16b8;Х/Б во всей квартире;;
1346693;03.01.2023 16:03;a253056a-2aa9-4284-8cfb-b33c52ad8a70;Сильный запах КНС в первом подвале;;
1346695;03.01.2023 16:17;8ef884fe-e7c9-444f-bd0a-273e2975ecca;Во дворе дома гололед, посыпать песком.;;
1346697;03.01.2023 16:21;05cebd67-8862-4eaf-95db-6ad109967806;Запах гари из розетки, пропал свет в комнате.;;
1346702;03.01.2023 17:03;a649e12e-99d1-4ce1-b273-1f972f6e7bf9;Занести в реестр машину с номером Н473АС 797,  чтобы шлагбаум открылся.;;
1346715;03.01.2023 18:34;7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;Очистить придомовую территорию от наледи;;
1346716;2023-01-03 18:37:45.089;1d560926-0842-47a4-be01-0c769b993dbe;Во дворе вода со льдом, невозможно выйти из дома.;;
1346717;03.01.2023 18:39;5340ccbb-db9b-402a-9fee-d6265fb13796;Не очищена придомовая территория от наледи.;;
1346718;03.01.2023 18:40;2a77443a-20d2-4d19-82eb-24657958f64e;Не очищена придомовая территория от наледи.;;
1346719;03.01.2023 18:40;c3c5b337-940e-4bf3-af7c-4c3c92992c05;Не очищена придомовая территория от наледи.;;
1346721;03.01.2023 18:50;79634954-aa18-4124-b5d3-dd315e5812e2;Топят соседи сверху.;;
1346722;03.01.2023 19:04;dc897e29-86fc-402f-a6fb-b34659a0ad21;Топят из квартиры этажом выше.;;
1346723;03.01.2023 19:23;dc897e29-86fc-402f-a6fb-b34659a0ad21;Топят соседи сверху из кв. 34. Заявитель просит отключить воду по стояку.;;
1346725;03.01.2023 19:41;dfdcc2f6-f41c-4a2c-bf73-6caaa7e4e678;На кухне сильный запах КНС.  Компенсатор стоит не на месте.;;
1346726;03.01.2023 19:41;2a77443a-20d2-4d19-82eb-24657958f64e;Не очищена придомовая территория от наледи.;;
1346728;03.01.2023 19:43;5340ccbb-db9b-402a-9fee-d6265fb13796;Не очищена придомовая территория от наледи.;;
1346730;03.01.2023 20:09;ae9b423a-3e20-48c5-803c-1f3631b40e05;течь крана на кухне ;;
1346737;03.01.2023 21:08;3f83e584-5cf9-49e3-b0e0-ad17de48a10d;засор кнс  унитаз;;
1346738;03.01.2023 21:34;dfdcc2f6-f41c-4a2c-bf73-6caaa7e4e678;На кухне сильный запах КНС.  Компенсатор стоит не на месте.;;
1346741;03.01.2023 22:36;8a5ba34e-98b2-42dd-8ee7-a83e2fc69efa;затопило балкон на 1эт,в рез-те течи с козырька магазина;;
1346744;04.01.2023 1:56;c77c8ad4-945b-40c5-9642-2a18f0766b36;Мех.уборка прид.территории;;
1346754;2023-01-04 08:04:16.072;afb28d8b-9e9a-4e83-9194-a3bd354ed137;Из крана ХВС течет кипяток;;
1346756;04.01.2023 8:20;9046e370-fa2d-439a-aeb2-21102eca4fff;Течь с кровли в прихожей над входной дверью.;;
1346770;04.01.2023 8:52;e9eb42b5-40b1-459b-b75d-00e01b3dca51;Перегорела лампочка на крыльце 4 подъезда, заменить.;;
1346773;2023-01-04 09:02:03.028;d3a20645-d142-427d-8b61-377ae1dc16b8;В первом подъезде на площадке между 3 и 4 этажами выбили стекло в окне. Заделать.;;
1346784;04.01.2023 9:20;d4de98b0-75af-463a-a4f1-f353748b00b2;Нет ГВС;;
1346789;2023-01-04 09:28:19.075;f0b3efd0-5533-4d40-87ef-ddb23c2767b2;Засор в ванне и на кухне;;
1346792;04.01.2023 9:42;afb28d8b-9e9a-4e83-9194-a3bd354ed137;Из крана ХВС течет кипяток;;
1346793;04.01.2023 9:42;c77c8ad4-945b-40c5-9642-2a18f0766b36;Мех.уборка прид.территории;;
1346794;04.01.2023 9:46;530314c2-29e1-4471-bbf1-58738a9e2859;Очистить придомовую территорию от снега;;
1346798;04.01.2023 9:51;f5d57ae5-3807-498a-a18e-188fdd3262f1;В спальне подкапывает батарея в месте соединения со стояком.;;
1346802;04.01.2023 9:55;97431017-d37c-4478-b319-6a4530b787f0;Течь вентиля на батарее на кухне.;;
1346809;04.01.2023 10:12;e86aae9a-45f6-4dff-8c90-22f998fb82ff;"Х/Б на кухне и Х/З в квартирах №24; 27; 30; 33. АДС не смогли пробить, возможно, забита где-то батарея, отсутствует циркуляция.";;
1346815;2023-01-04 10:21:36.071;c1cb2572-87f2-4f52-8d19-5f369510b1e5;Из колодца около 1 подъезда течет КНС;;
1346825;04.01.2023 10:34;196eccc6-82f1-4d06-8b49-ffb152f848b3;Течет кровля в подъезд № 3 и №4. В квартирах № 108 141, где балконная дверь;;
1346830;04.01.2023 10:39;5b14846c-c9b9-4aee-8e25-54290b9b4678;Во втором подъезде сильный запах КНС;;
1346831;04.01.2023 10:40;196eccc6-82f1-4d06-8b49-ffb152f848b3;Очистить придомовую территорию от снега;;
1346835;04.01.2023 10:44;e86aae9a-45f6-4dff-8c90-22f998fb82ff;Слить стояки ЦО кухня и змеевики по кв. № 30, для дальнейших ремонтных работ.;;
1346838;04.01.2023 10:50;e1c09149-637f-41db-a88e-2e57ee423b97;Х/З по стояку;;
1346845;04.01.2023 11:10;43ef53e2-f601-45c9-b05e-938920fa7e03;При входе во втором подъезде утеплить трубы ЦО.;;
1346847;04.01.2023 11:12;8012f310-1e2b-4299-ab17-e526bb68920b;Нет света в подъезде на 4 этаже после пожара;;
1346852;04.01.2023 11:17;2a29c396-49b2-4bce-b578-0863f8b1992f;Протоп в кухне с верхнего этажа.;;
1346856;04.01.2023 11:29;196eccc6-82f1-4d06-8b49-ffb152f848b3;Очистить от снега и наледи придомовую территорию.;;
1346861;04.01.2023 11:36;afb28d8b-9e9a-4e83-9194-a3bd354ed137;Вместо ХВС течет кипяток.;;
1346862;04.01.2023 11:37;8012f310-1e2b-4299-ab17-e526bb68920b;Не работает домофон во всем подъезде;;
1346869;04.01.2023 11:49;d4de98b0-75af-463a-a4f1-f353748b00b2;Нет ГВС с 03.01. Порыв трубы ГВС.;;
1346873;04.01.2023 11:53;727ce93c-1e4a-43e7-a9a4-07274dabe8a1;Не уходит вода из унитаза и из ванной.;;
1346881;04.01.2023 12:28;a7ac2f9d-fd78-49df-81e0-191ee192f11d;Х/Б на кухне;;
1346890;04.01.2023 12:52;8627d669-0dd2-4241-8e79-75687439af39;Очистить антенну на крыше от снега. Открыть люк на крышу.;;
1346892;04.01.2023 13:00;8dbdaf40-0c1f-42fe-b16b-e83e7a6b60f6;Порыв трубы ЦО в подвале.;;
1346895;04.01.2023 13:12;fe6bc411-d85b-4723-83e6-4ef7769b2ef1;Нужно заварить свищ на трубе ЦО в подвале. Нужен сварщик.;;
1346896;04.01.2023 13:18;dacad90c-9057-42e9-8ec8-8f3fe69293b3;Сильная течь по трубам в техническом канале в туалете.;;
1346898;04.01.2023 13:21;4be2cec4-b963-41b2-94ac-935a2b40b6a3;Течь трубы КНС;;
1346908;04.01.2023 14:02;786f92b9-1a8e-45df-9183-4f8ead2f6e5c;Х/З. Вместо ГВС идет ХВС.;;
1346913;04.01.2023 14:11;a649e12e-99d1-4ce1-b273-1f972f6e7bf9;Заказать 3 ключа от домофона;;
1346920;2023-01-04 14:25:59.035;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь кровли;;
1346922;04.01.2023 14:30;83b8a503-2920-496a-8bfe-896c68225e8b;Порыв трубы ХВС (санузел);;
